id_envio,segmento_cliente,assunto_email,abriu,clicou,converteu
ENV0378,VIP,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0379,Recorrentes,Bem-vindo à nossa loja! 👋,0,0,0
ENV0380,Novos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0381,VIP,Bem-vindo à nossa loja! 👋,1,0,0
ENV0382,Inativos,Confira as novidades da semana! 🚀,1,1,1
ENV0383,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0384,Recorrentes,Confira as novidades da semana! 🚀,0,0,0
ENV0385,Inativos,Oferta Exclusiva de Primavera 🌸,1,1,1
ENV0386,Recorrentes,Confira as novidades da semana! 🚀,0,0,0
ENV0387,Novos,Oferta Exclusiva de Primavera 🌸,1,1,1
ENV0388,VIP,Confira as novidades da semana! 🚀,1,1,0
ENV0389,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0390,Recorrentes,Oferta Exclusiva de Primavera 🌸,1,1,0
ENV0391,Recorrentes,Bem-vindo à nossa loja! 👋,1,0,0
ENV0392,Novos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0393,Novos,Confira as novidades da semana! 🚀,1,0,0
ENV0394,Recorrentes,Bem-vindo à nossa loja! 👋,1,0,0
ENV0395,Novos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0396,Recorrentes,Bem-vindo à nossa loja! 👋,1,0,0
ENV0397,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0398,Novos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0399,Recorrentes,Confira as novidades da semana! 🚀,1,1,0
ENV0400,Recorrentes,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0401,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0402,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0403,Inativos,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0404,Recorrentes,Bem-vindo à nossa loja! 👋,1,0,0
ENV0405,Novos,Bem-vindo à nossa loja! 👋,1,0,0
ENV0406,Recorrentes,Confira as novidades da semana! 🚀,1,1,0
ENV0407,Novos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0408,VIP,Oferta Exclusiva de Primavera 🌸,1,1,0
ENV0409,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,1
ENV0410,VIP,Bem-vindo à nossa loja! 👋,0,0,0
ENV0411,Novos,Confira as novidades da semana! 🚀,1,0,0
ENV0412,Recorrentes,Bem-vindo à nossa loja! 👋,0,0,0
ENV0413,Recorrentes,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0414,Inativos,Confira as novidades da semana! 🚀,1,0,0
ENV0415,Inativos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0416,Novos,Confira as novidades da semana! 🚀,1,1,0
ENV0417,Novos,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0418,Novos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0419,Inativos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0420,Recorrentes,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0421,Recorrentes,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0422,Recorrentes,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0423,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0424,Novos,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0425,VIP,Confira as novidades da semana! 🚀,1,0,0
ENV0426,Inativos,Bem-vindo à nossa loja! 👋,1,0,0
ENV0427,Novos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0428,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0429,Novos,Bem-vindo à nossa loja! 👋,1,1,0
ENV0430,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,0
ENV0431,VIP,Oferta Exclusiva de Primavera 🌸,1,1,0
ENV0432,Recorrentes,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0433,Inativos,Bem-vindo à nossa loja! 👋,1,1,0
ENV0434,VIP,Confira as novidades da semana! 🚀,1,1,0
ENV0435,VIP,Confira as novidades da semana! 🚀,0,0,0
ENV0436,Inativos,Bem-vindo à nossa loja! 👋,1,0,0
ENV0437,VIP,Bem-vindo à nossa loja! 👋,1,0,0
ENV0438,Recorrentes,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0439,Inativos,Confira as novidades da semana! 🚀,0,0,0
ENV0440,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0441,VIP,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0442,Recorrentes,Bem-vindo à nossa loja! 👋,1,1,1
ENV0443,Novos,Confira as novidades da semana! 🚀,0,0,0
ENV0444,Novos,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,0
ENV0445,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0446,Recorrentes,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0447,Recorrentes,Confira as novidades da semana! 🚀,1,1,1
ENV0448,Recorrentes,Confira as novidades da semana! 🚀,1,0,0
ENV0449,Novos,Bem-vindo à nossa loja! 👋,1,1,1
ENV0450,VIP,Confira as novidades da semana! 🚀,0,0,0
ENV0451,Recorrentes,Confira as novidades da semana! 🚀,1,0,0
ENV0452,Inativos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0453,Novos,Confira as novidades da semana! 🚀,0,0,0
ENV0454,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0455,VIP,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0456,Novos,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0457,VIP,Bem-vindo à nossa loja! 👋,1,0,0
ENV0458,Novos,Confira as novidades da semana! 🚀,1,0,0
ENV0459,VIP,Bem-vindo à nossa loja! 👋,0,0,0
ENV0460,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0461,VIP,Oferta Exclusiva de Primavera 🌸,1,1,0
ENV0462,Inativos,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0463,Inativos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0464,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0465,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,1
ENV0466,Novos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0467,Novos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0468,Recorrentes,Bem-vindo à nossa loja! 👋,1,1,0
ENV0469,Novos,Confira as novidades da semana! 🚀,1,0,0
ENV0470,Recorrentes,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0471,VIP,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0472,Recorrentes,Bem-vindo à nossa loja! 👋,0,0,0
ENV0473,VIP,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0474,Recorrentes,Bem-vindo à nossa loja! 👋,1,0,0
ENV0475,Inativos,Confira as novidades da semana! 🚀,1,1,1
ENV0476,Recorrentes,Confira as novidades da semana! 🚀,1,0,0
ENV0477,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0478,Inativos,Confira as novidades da semana! 🚀,0,0,0
ENV0479,Recorrentes,Bem-vindo à nossa loja! 👋,1,0,0
ENV0480,Inativos,Confira as novidades da semana! 🚀,1,1,0
ENV0481,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0482,Inativos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0483,Novos,Bem-vindo à nossa loja! 👋,0,0,0
ENV0484,Inativos,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0485,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0486,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",0,0,0
ENV0487,VIP,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0488,Novos,Oferta Exclusiva de Primavera 🌸,1,1,1
ENV0489,Recorrentes,Oferta Exclusiva de Primavera 🌸,1,0,0
ENV0490,Recorrentes,Oferta Exclusiva de Primavera 🌸,0,0,0
ENV0491,Novos,Oferta Exclusiva de Primavera 🌸,1,1,1
ENV0492,Inativos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0493,Novos,"Sentimos sua falta, volte com 10% OFF 🎁",1,0,0
ENV0494,VIP,Bem-vindo à nossa loja! 👋,1,1,1
ENV0495,Novos,Bem-vindo à nossa loja! 👋,1,1,1
ENV0496,Novos,Oferta Exclusiva de Primavera 🌸,1,1,0
ENV0497,Inativos,Confira as novidades da semana! 🚀,0,0,0
ENV0498,VIP,Confira as novidades da semana! 🚀,0,0,0
ENV0499,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,0
ENV0500,Recorrentes,"Sentimos sua falta, volte com 10% OFF 🎁",1,1,0
